"accession_ID"	"Sample"	"dataset"	"Developmental_ssGSEA"	"Injury_ssGSEA"	"Classical_ssGSEA"	"Mesenchymal_ssGSEA"	"Proneural_ssGSEA"	"Developmental_pval_ssGSEA"	"Injury_pval_ssGSEA"	"Classical_pval_ssGSEA"	"Mesenchymal_pval_ssGSEA"	"Proneural_pval_ssGSEA"	"Wang_2017"	"Richards_2021"
"GSM1638661"	"MD30_Rep_1"	"GSE67089"	-1266.71602049299	1823.06239642039	-1298.17503491355	1476.76998217508	-393.063904018534	1	0.000999000999000999	1	0.001998001998002	0.958041958041958	"MES"	"INJ"
"GSM1638662"	"MD30_Rep_2"	"GSE67089"	-1227.88258425806	1753.80447416881	-1652.42801180765	1403.29508563944	-299.722609549139	1	0.000999000999000999	1	0.003996003996004	0.942057942057942	"MES"	"INJ"
"GSM1638663"	"MD30_Rep_3"	"GSE67089"	-1319.1445760448	1830.89469015057	-1640.61876246225	1565.63074368848	-234.434038787968	1	0.000999000999000999	1	0.000999000999000999	0.927072927072927	"MES"	"INJ"
"GSM198765"	"GS-1"	"GSE8049"	64.3915233214107	1580.11826284498	1406.17487268072	2793.47483768873	-545.603875215248	1	0.000999000999000999	0.034965034965035	0.000999000999000999	0.981018981018981	"MES"	"INJ"
"GSM198766"	"GS-2"	"GSE8049"	303.932080564403	766.114996746736	1626.9394318378	764.713829787896	-1340.33708975117	1	0.000999000999000999	0.00899100899100899	0.181818181818182	1	"CL"	"INJ"
"GSM198767"	"GS-3"	"GSE8049"	2094.22606549425	-1397.03401166445	2950.36534443171	-2933.02871498335	-169.666545521858	0.000999000999000999	1	0.000999000999000999	1	0.904095904095904	"CL"	"DEV"
"GSM198768"	"GS-4"	"GSE8049"	-166.948468550232	1281.62149299829	39.5200151455854	1980.0294032215	707.665998759773	1	0.000999000999000999	0.936063936063936	0.000999000999000999	0.226773226773227	"MES"	"INJ"
"GSM198769"	"GS-5"	"GSE8049"	1563.58351983545	-457.469082778154	106.019741885184	-1786.44319441001	1660.31512535316	0.000999000999000999	1	0.907092907092907	1	0.003996003996004	"PN"	"DEV"
"GSM198770"	"GS-6"	"GSE8049"	-366.843331423153	1475.39731103326	845.1645377899	1969.61003793427	-545.661280017031	1	0.000999000999000999	0.356643356643357	0.000999000999000999	0.981018981018981	"MES"	"INJ"
"GSM198771"	"GS-7"	"GSE8049"	-737.420389314266	1408.71514414227	-203.525068027016	1496.73327089676	138.026583450686	1	0.000999000999000999	0.979020979020979	0.000999000999000999	0.708291708291708	"MES"	"INJ"
"GSM198772"	"GS-8"	"GSE8049"	1360.43952699408	-804.71292117192	878.222377751117	-1961.9786757721	1514.49052595064	0.000999000999000999	1	0.317682317682318	1	0.00699300699300699	"PN"	"DEV"
"GSM198773"	"GS-9"	"GSE8049"	1771.70926278538	-1042.18146789199	1433.37070093443	-2076.02636003726	2796.47750601018	0.000999000999000999	1	0.027972027972028	1	0.000999000999000999	"PN"	"DEV"
"GSM198774"	"GS-1-2"	"GSE8049"	49.9169088077718	1209.40660529134	173.299844831063	1538.39648307977	168.462653732988	1	0.000999000999000999	0.879120879120879	0.000999000999000999	0.686313686313686	"MES"	"INJ"
"GSM198775"	"GS-2-2"	"GSE8049"	-609.116023370481	1232.10209667214	-1564.76217366505	1446.90106258156	-796.570292311439	1	0.000999000999000999	1	0.002997002997003	0.995004995004995	"MES"	"INJ"
"GSM198776"	"GS-3-2"	"GSE8049"	1469.42395626397	-506.103215672041	1549.64105426111	-2401.77988776161	-157.292010762744	0.000999000999000999	1	0.011988011988012	1	0.898101898101898	"CL"	"DEV"
"GSM198777"	"GS-4-2"	"GSE8049"	-108.811583641602	1139.16706534708	-100.418138307047	1463.75454375651	522.167932648416	1	0.000999000999000999	0.967032967032967	0.002997002997003	0.350649350649351	"MES"	"INJ"
"GSM198778"	"GS-5-2"	"GSE8049"	972.436670444877	366.146059401075	-17.746213461111	-173.271867262603	98.0585252434931	0.000999000999000999	0.949050949050949	0.948051948051948	0.9000999000999	0.734265734265734	"PN"	"DEV"
"GSM198779"	"GS-7-2"	"GSE8049"	-924.000844012618	1729.07686555849	-1039.31120925496	2265.37612199923	424.254234242248	1	0.000999000999000999	1	0.000999000999000999	0.443556443556444	"MES"	"INJ"
"GSM198780"	"GS-8-2"	"GSE8049"	795.268676085711	88.0664649312642	273.844974036675	-556.397440777636	12.7725128847669	0.003996003996004	1	0.819180819180819	0.982017982017982	0.802197802197802	"PN"	"DEV"
"GSM198781"	"GS-9-2"	"GSE8049"	1643.36921972527	-866.745708486641	1441.28416036836	-2128.95464667476	1971.18303507373	0.000999000999000999	1	0.026973026973027	1	0.000999000999000999	"PN"	"DEV"
"GSM3384803"	"GSC1"	"GSE119834"	1626.49767233052	-867.098210357583	2005.21559065805	-1827.71943164436	273.282832706003	0.000999000999000999	1	0.001998001998002	1	0.581418581418581	"CL"	"DEV"
"GSM3384804"	"GSC10"	"GSE119834"	1255.91990588228	-936.826462970619	-554.544365429846	-2094.56383451174	2438.85686791666	0.000999000999000999	1	0.999000999000999	1	0.000999000999000999	"PN"	"DEV"
"GSM3384805"	"GSC11"	"GSE119834"	2117.24433002609	-1303.8048233862	2322.52553589057	-2711.02080323176	1448.62056014574	0.000999000999000999	1	0.000999000999000999	1	0.00899100899100899	"CL"	"DEV"
"GSM3384806"	"GSC12"	"GSE119834"	1617.73005479815	-96.6520005117015	1254.86760019769	22.4403710326179	145.824432975929	0.000999000999000999	1	0.0729270729270729	0.791208791208791	0.701298701298701	"CL"	"DEV"
"GSM3384807"	"GSC13"	"GSE119834"	1800.71341224152	-680.381549851103	2413.21358003139	-1212.23139174391	-478.740230584778	0.000999000999000999	1	0.000999000999000999	1	0.973026973026973	"CL"	"DEV"
"GSM3384808"	"GSC14"	"GSE119834"	896.714431411092	-337.130357108864	197.302233717147	-662.925689344026	457.522260181235	0.000999000999000999	1	0.866133866133866	0.989010989010989	0.413586413586414	"PN"	"DEV"
