"Sample"	"Developmental"	"Injury"	"Classical"	"Mesenchymal"	"Proneural"	"Developmental_pval"	"Injury_pval"	"Classical_pval"	"Mesenchymal_pval"	"Proneural_pval"	"Wang_2017"	"Richards_2021"	"FOSL1"
"G683_L"	2992.84060538574	4113.26159749984	8482.00236592734	5935.36170568164	25.837837482403	1	0.000999000999000999	0.010989010989011	0.000999000999000999	1	"MES"	"INJ"	12.6921870576887
"G691_L"	2304.8214184662	4794.59186219324	8115.64226547409	6007.14852979364	640.36234676156	1	0.000999000999000999	0.15984015984016	0.000999000999000999	1	"MES"	"INJ"	13.2388443768831
"G702_L"	4299.82287318539	2621.04247800648	8784.87419659313	3095.89745875669	2276.27886526746	0.000999000999000999	1	0.001998001998002	0.979020979020979	0.198801198801199	"CL"	"DEV"	10.1969614389752
"G705_L"	2492.22760488289	4341.00660673307	7290.32816669554	5805.90714989628	562.19447539012	1	0.000999000999000999	0.945054945054945	0.000999000999000999	1	"MES"	"INJ"	11.2945767978459
"G706_L"	4232.80879076195	2781.7597944227	8834.59845320691	2926.01750930614	1904.05119205033	0.000999000999000999	1	0.001998001998002	0.992007992007992	0.546453546453546	"CL"	"DEV"	11.0532775596022
"G719_L"	3381.38770921932	3484.31836275848	8030.0297082835	3549.64124581273	1771.71050295421	1	0.000999000999000999	0.230769230769231	0.846153846153846	0.673326673326673	"CL"	"INJ"	10.5497285869749
"G729_L"	1736.51769112509	5250.55268480695	6852.3137001767	8218.60504710295	1535.28781412242	1	0.000999000999000999	0.999000999000999	0.000999000999000999	0.841158841158841	"MES"	"INJ"	14.4571546330905
"G744_L"	5217.2532019008	1544.00302520672	7641.33408567177	544.174482026953	3913.82366584418	0.000999000999000999	1	0.724275724275724	1	0.000999000999000999	"PN"	"DEV"	8.01418766573027
"G789_L"	1366.52485814416	5532.26118669444	5475.92396172237	8037.34136954843	1404.49457098875	1	0.000999000999000999	1	0.000999000999000999	0.903096903096903	"MES"	"INJ"	14.3498229887611
"G797_L"	2572.19722707962	4420.63071954558	7838.08958690471	6446.0696833352	1445.71474208747	1	0.000999000999000999	0.45954045954046	0.000999000999000999	0.885114885114885	"MES"	"INJ"	13.9902021736476
"G799_L"	2757.98534509778	4067.27212022003	7927.0997399729	5073.31758666454	1234.08292423261	1	0.000999000999000999	0.352647352647353	0.01998001998002	0.954045954045954	"MES"	"INJ"	11.2615243954668
"G800_L"	2762.74956922843	4440.74160005251	8268.94781392814	7003.95336089714	1774.31014599264	1	0.000999000999000999	0.0769230769230769	0.000999000999000999	0.668331668331668	"MES"	"INJ"	13.3864215403859
"G809_L"	4078.0119395271	2657.75042373175	8378.98300908239	2732.46799618569	3743.50680787975	0.000999000999000999	1	0.02997002997003	0.999000999000999	0.000999000999000999	"PN"	"DEV"	9.49955761286362
"G823_L"	4009.20729633769	2913.29217379182	8186.55735926305	3651.31244123374	1683.17534709157	0.000999000999000999	1	0.113886113886114	0.785214785214785	0.742257742257742	"CL"	"DEV"	11.0385088140136
"G828_L"	4068.34788517493	2957.51743694976	8457.42350545779	3428.99011810008	2488.40570169442	0.000999000999000999	1	0.014985014985015	0.899100899100899	0.0869130869130869	"CL"	"DEV"	11.2045226991425
"G837_L"	2015.01927690572	4621.51762232396	6415.81003053309	6378.52975221678	1621.52968244501	1	0.000999000999000999	1	0.000999000999000999	0.789210789210789	"MES"	"INJ"	14.5157706323493
"G851_L"	2558.33196133954	4193.73848909905	7316.25209669345	5723.52967690042	1004.88860960624	1	0.000999000999000999	0.94005994005994	0.001998001998002	0.993006993006993	"MES"	"INJ"	12.6773158723805
"G861_L"	2078.350325484	4953.93756499172	7394.78986766405	6958.77485404502	1311.5013594884	1	0.000999000999000999	0.91008991008991	0.000999000999000999	0.935064935064935	"MES"	"INJ"	13.9587827903215
"G876_L"	2964.11691868581	4020.18593063366	7710.34384406502	5444.21169343635	1040.27661385924	1	0.000999000999000999	0.642357642357642	0.003996003996004	0.991008991008991	"MES"	"INJ"	12.9172198307693
"G885_L"	3850.44272012985	2829.976684841	8074.85203220802	2499.4819734643	2109.01926190231	0.000999000999000999	1	0.184815184815185	1	0.350649350649351	"CL"	"DEV"	12.5970044524258
"G895_L"	4158.43561716536	2596.77200574174	8099.10053327736	2468.91392572259	2116.50834641565	0.000999000999000999	1	0.171828171828172	1	0.342657342657343	"CL"	"DEV"	10.044595862979
