Cells	Sample	Replicate	Normalizer	Gene	CT	Figure	Normalized
BTSC 3021	shNF1	Rep3	18s	BHLHB2	0.995	S4I	TRUE
BTSC 3021	shCtrl	Rep1	GAPDH	CEBPB	0.782	S4I	TRUE
BTSC 3021	shCtrl	Rep2	GAPDH	CEBPB	1.03	S4I	TRUE
BTSC 3021	shCtrl	Rep3	GAPDH	CEBPB	1.188	S4I	TRUE
BTSC 3021	shNF1	Rep1	GAPDH	CEBPB	5.045	S4I	TRUE
BTSC 3021	shNF1	Rep2	GAPDH	CEBPB	3.711	S4I	TRUE
BTSC 3021	shNF1	Rep3	GAPDH	CEBPB	2.353	S4I	TRUE
BTSC 3021	shCtrl	Rep1	18s	FOSL2	1.016	S4I	TRUE
BTSC 3021	shCtrl	Rep2	18s	FOSL2	1.01	S4I	TRUE
BTSC 3021	shCtrl	Rep3	18s	FOSL2	0.973	S4I	TRUE
BTSC 3021	shNF1	Rep1	18s	FOSL2	1.468	S4I	TRUE
BTSC 3021	shNF1	Rep2	18s	FOSL2	1.474	S4I	TRUE
BTSC 3021	shNF1	Rep3	18s	FOSL2	1.241	S4I	TRUE
BTSC 3021	shCtrl	Rep1	18s	RUNX1	1.148	S4I	TRUE
BTSC 3021	shCtrl	Rep2	18s	RUNX1	1.014	S4I	TRUE
BTSC 3021	shCtrl	Rep3	18s	RUNX1	0.837	S4I	TRUE
BTSC 3021	shNF1	Rep1	18s	RUNX1	0.837	S4I	TRUE
BTSC 3021	shNF1	Rep2	18s	RUNX1	0.956	S4I	TRUE
BTSC 3021	shNF1	Rep3	18s	RUNX1	1.605	S4I	TRUE
BTSC 3021	shCtrl	Rep1	18s	STAT3	0.991	S4I	TRUE
BTSC 3021	shCtrl	Rep2	18s	STAT3	1.613	S4I	TRUE
BTSC 3021	shCtrl	Rep3	18s	STAT3	0.396	S4I	TRUE
BTSC 3021	shNF1	Rep1	18s	STAT3	0.381	S4I	TRUE
BTSC 3021	shNF1	Rep2	18s	STAT3	0.988	S4I	TRUE
BTSC 3021	shNF1	Rep3	18s	STAT3	0.558	S4I	TRUE
BTSC 3021	shCtrl	Rep1	18s	TAZ	1.159	S4I	TRUE
BTSC 3021	shCtrl	Rep2	18s	TAZ	1.066	S4I	TRUE
BTSC 3021	shCtrl	Rep3	18s	TAZ	0.775	S4I	TRUE
BTSC 3021	shNF1	Rep1	18s	TAZ	1.149	S4I	TRUE
BTSC 3021	shNF1	Rep2	18s	TAZ	1.383	S4I	TRUE
BTSC 3021	shNF1	Rep3	18s	TAZ	1.201	S4I	TRUE
BTSC 232	Ctrl	Rep1	18s	ITGA3	1.062	S4C	TRUE
BTSC 232	Ctrl	Rep2	18s	ITGA3	0.984	S4C	TRUE
BTSC 232	Ctrl	Rep3	18s	ITGA3	0.954	S4C	TRUE
BTSC 232	GRD	Rep1	18s	ITGA3	0.413	S4C	TRUE
BTSC 232	GRD	Rep2	18s	ITGA3	0.405	S4C	TRUE
BTSC 232	GRD	Rep3	18s	ITGA3	0.36	S4C	TRUE
BTSC 232	Ctrl	Rep1	18s	ITGA5	0.907	S4C	TRUE
BTSC 232	Ctrl	Rep2	18s	ITGA5	0.888	S4C	TRUE
BTSC 232	Ctrl	Rep3	18s	ITGA5	1.205	S4C	TRUE
BTSC 232	GRD	Rep1	18s	ITGA5	0.738	S4C	TRUE
BTSC 232	GRD	Rep2	18s	ITGA5	0.744	S4C	TRUE
BTSC 232	GRD	Rep3	18s	ITGA5	0.738	S4C	TRUE
BTSC 232	Ctrl	Rep1	18s	PLAU	1.068	S4C	TRUE
BTSC 232	Ctrl	Rep2	18s	PLAU	0.976	S4C	TRUE
BTSC 232	Ctrl	Rep3	18s	PLAU	0.956	S4C	TRUE
BTSC 232	GRD	Rep1	18s	PLAU	0.981	S4C	TRUE
BTSC 232	GRD	Rep2	18s	PLAU	1.077	S4C	TRUE
BTSC 232	GRD	Rep3	18s	PLAU	1.446	S4C	TRUE
BTSC 232	Ctrl	Rep1	18s	SERPINE1	1.116	S4C	TRUE
BTSC 232	Ctrl	Rep2	18s	SERPINE1	1.013	S4C	TRUE
BTSC 232	Ctrl	Rep3	18s	SERPINE1	0.871	S4C	TRUE
BTSC 232	GRD	Rep1	18s	SERPINE1	0.322	S4C	TRUE
BTSC 232	GRD	Rep2	18s	SERPINE1	0.468	S4C	TRUE
BTSC 232	GRD	Rep3	18s	SERPINE1	0.528	S4C	TRUE
BTSC 232	Ctrl	Rep1	18s	TNC	1.086	S4C	TRUE
BTSC 232	Ctrl	Rep2	18s	TNC	0.911	S4C	TRUE
BTSC 232	Ctrl	Rep3	18s	TNC	1.003	S4C	TRUE
BTSC 232	GRD	Rep1	18s	TNC	1.194	S4C	TRUE
BTSC 232	GRD	Rep2	18s	TNC	1.212	S4C	TRUE
BTSC 232	GRD	Rep3	18s	TNC	1.293	S4C	TRUE
BTSC 233	Ctrl	Rep1	18s	ITGA3	1.036	S4C	TRUE
BTSC 233	Ctrl	Rep2	18s	ITGA3	1.065	S4C	TRUE
BTSC 233	Ctrl	Rep3	18s	ITGA3	0.899	S4C	TRUE
BTSC 233	GRD	Rep1	18s	ITGA3	0.294	S4C	TRUE
BTSC 233	GRD	Rep2	18s	ITGA3	0.278	S4C	TRUE
BTSC 233	GRD	Rep3	18s	ITGA3	0.259	S4C	TRUE
BTSC 233	Ctrl	Rep1	18s	ITGA5	0.909	S4C	TRUE
BTSC 233	Ctrl	Rep2	18s	ITGA5	0.937	S4C	TRUE
BTSC 233	Ctrl	Rep3	18s	ITGA5	1.155	S4C	TRUE
BTSC 233	GRD	Rep1	18s	ITGA5	0.486	S4C	TRUE
BTSC 233	GRD	Rep2	18s	ITGA5	0.538	S4C	TRUE
BTSC 233	GRD	Rep3	18s	ITGA5	0.489	S4C	TRUE
BTSC 233	Ctrl	Rep1	18s	PLAU	1.057	S4C	TRUE
BTSC 233	Ctrl	Rep2	18s	PLAU	0.988	S4C	TRUE
BTSC 233	Ctrl	Rep3	18s	PLAU	0.954	S4C	TRUE
BTSC 233	GRD	Rep1	18s	PLAU	0.571	S4C	TRUE
BTSC 233	GRD	Rep2	18s	PLAU	0.596	S4C	TRUE
BTSC 233	GRD	Rep3	18s	PLAU	0.735	S4C	TRUE
BTSC 233	Ctrl	Rep1	18s	SERPINE1	1.098	S4C	TRUE
BTSC 233	Ctrl	Rep2	18s	SERPINE1	1.018	S4C	TRUE
BTSC 233	Ctrl	Rep3	18s	SERPINE1	0.884	S4C	TRUE
BTSC 233	GRD	Rep1	18s	SERPINE1	0.432	S4C	TRUE
BTSC 233	GRD	Rep2	18s	SERPINE1	0.363	S4C	TRUE
BTSC 233	GRD	Rep3	18s	SERPINE1	0.412	S4C	TRUE
