"zmean_diff"	"TFs"	"p_value"	"p_value_adjusted"	"TFs1"
"MA0710.1_NOTO"	0.358420961157148	"NOTO"	0.944006494572276	0.965364107571648	"NOTO"
"MA0711.1_OTX1"	-2.16523164118322	"OTX1"	0.286932654929817	0.447219172511301	"OTX1"
"MA0712.1_OTX2"	0.330709736569205	"OTX2"	0.750458799208383	0.862532463593721	"OTX2"
"MA0132.2_PDX1"	0.270179139308612	"PDX1"	0.675445551148556	0.797041155411351	"PDX1"
"MA0713.1_PHOX2A"	1.59901311235528	"PHOX2A"	0.173826674670093	0.329606834562627	"PHOX2A"
"MA0714.1_PITX3"	1.51854431329293	"PITX3"	0.207648256595339	0.369515795201154	"PITX3"
"MA0715.1_PROP1"	3.64780396743036	"PROP1"	0.00360120097666106	0.0271290473575133	"PROP1"
"MA0716.1_PRRX1"	-4.96540329198085	"PRRX1"	0.000564835664473784	0.00880364552903967	"PRRX1"
"MA0717.1_RAX2"	-3.73275764123298	"RAX2"	0.00389794008131877	0.02841724059284	"RAX2"
"MA0718.1_RAX"	-0.269960472975776	"RAX"	0.452512841410243	0.614221634586876	"RAX"
"MA0719.1_RHOXF1"	-1.42427439637455	"RHOXF1"	0.0337407719160517	0.108161907135144	"RHOXF1"
"MA0721.1_UNCX"	-4.05142924219825	"UNCX"	0.000618712638873901	0.00897238531129021	"UNCX"
"MA0722.1_VAX1"	-0.277914216263913	"VAX1"	0.790211866432037	0.881915465746372	"VAX1"
"MA0723.1_VAX2"	-0.419803900229118	"VAX2"	0.706492455200878	0.82515397868423	"VAX2"
"MA0724.1_VENTX"	0.182382120446309	"VENTX"	0.65727786507398	0.783877559402214	"VENTX"
"MA0725.1_VSX1"	-1.25156233516175	"VSX1"	0.180069891336089	0.332210575036377	"VSX1"
"MA0726.1_VSX2"	1.82359271808375	"VSX2"	0.332945649985904	0.495037611163253	"VSX2"
"MA0112.3_ESR1"	-0.888900118145696	"ESR1"	0.190472597746001	0.347151670085453	"ESR1"
"MA0141.3_ESRRB"	-0.225964358139405	"ESRRB"	0.705996197379984	0.82515397868423	"ESRRB"
"MA0017.2_NR2F1"	-0.326382131691308	"NR2F1"	0.60960653607761	0.748755854095326	"NR2F1"
"MA0113.3_NR3C1"	1.33684762307194	"NR3C1"	0.779586675987712	0.876550192901607	"NR3C1"
"MA0727.1_NR3C2"	-0.168848065505538	"NR3C2"	0.549300053658868	0.693529676686615	"NR3C2"
"MA0729.1_RARA"	3.41636119265374	"RARA"	0.019698610511388	0.0723883898467268	"RARA"
"MA0730.1_RARA(var.2)"	-1.09047158929546	"RARA(var.2)"	0.356094623893628	0.517039046940464	"RARA(var.2)"
"MA0731.1_BCL6B"	-0.00793375904800217	"BCL6B"	0.909958285949325	0.948813338582013	"BCL6B"
"MA0472.2_EGR2"	4.08350188929517	"EGR2"	0.113822719782448	0.250965216300811	"EGR2"
"MA0732.1_EGR3"	5.62388286502333	"EGR3"	0.212359215732608	0.372774778737365	"EGR3"
"MA0733.1_EGR4"	6.16681764097081	"EGR4"	0.12190731568409	0.263646443489037	"EGR4"
"MA0734.1_GLI2"	-3.67488631508887	"GLI2"	0.000691705682407711	0.00947427177116016	"GLI2"
